M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;O;O;O;O;O;P;O;O;O;O;O;M;M;M;M;M
M;O;O;O;O;O;O;O;O;O;O;O;M;O;O;O;M
M;O;M;M;M;M;M;M;M;M;O;O;M;O;O;O;M
M;O;M;O;O;O;O;M;O;O;O;O;M;O;O;O;M
M;O;M;T,1200,1120;O;M;M;M;M;M;M;O;M;O;O;O;M
M;O;M;O;O;M;O;O;O;O;M;O;M;O;M;O;M
M;;M;O;M;O;O;O;M;O;M;O;M;O;M;O;M
M;O;M;O;M;O;O;O;M;M;M;O;M;O;M;O;M
M;O;M;O;M;O;O;O;O;O;O;O;M;O;M;O;M
M;O;M;O;O;M;O;M;M;M;M;M;M;O;M;O;M
M;O;M;O;O;O;O;O;O;O;O;O;M;E,80,80,1;M;O;M
M;O;M;M;M;M;M;M;M;M;M;M;M;M;M;O;M
M;O;O;O;O;O;O;O;O;O;O;O;M;O;O;O;M
M;O;O;O;O;O;O;O;O;O;O;O;M;O;O;O;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M;M
